 488214 209728 1183.54101   48   26 1189.52852 1169.02751  1.72%  17.0 1170s
 490541 210627 1175.18547   54   34 1189.52852 1169.03704  1.72%  17.0 1175s
 493112 211549 1175.27330   44   25 1189.52852 1169.04955  1.72%  17.0 1180s
 496133 212544 1188.19725   52   17 1189.52852 1169.06750  1.72%  17.0 1185s
 498855 213361 infeasible   49      1189.52852 1169.08364  1.72%  17.0 1190s
 501520 214314 1173.33275   47   27 1189.52852 1169.09446  1.72%  17.0 1195s
 504493 215410 infeasible   52      1189.52852 1169.10744  1.72%  17.1 1200s

Cutting planes:
  Gomory: 22
  Cover: 138
  MIR: 51
  Flow cover: 105
  Inf proof: 92
  RLT: 2

Explored 504698 nodes (8608681 simplex iterations) in 1200.03 seconds
Thread count was 2 (of 4 available processors)

Solution count 5: 1189.53 1191.23 1198.69 ... 1250.08

Time limit reached
Best objective 1.189528524488e+03, best bound 1.169108818901e+03, gap 1.7166%
Discarded solution information

Gurobi 9.0.2 (win64) logging started Wed Jan 12 16:26:51 2022

Changed value of parameter LogFile to logs\SDCRVRP_10-2-7-100_3_0.LOG
   Prev:   Default: 
Changed value of parameter Seed to 1870579472
   Prev: 0  Min: 0  Max: 2000000000  Default: 0
Changed value of parameter Threads to 2
   Prev: 0  Min: 0  Max: 1024  Default: 0
Changed value of parameter TimeLimit to 1200.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Changed value of parameter Symmetry to 2
   Prev: -1  Min: -1  Max: 2  Default: -1
Changed value of parameter Cuts to 2
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter PreDepRow to 1
   Prev: -1  Min: -1  Max: 1  Default: -1
Changed value of parameter ScaleFlag to 1
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter NormAdjust to 0
   Prev: -1  Min: -1  Max: 3  Default: -1
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (win64)
Optimize a model with 10467 rows, 6526 columns and 43451 nonzeros
Model fingerprint: 0x3b28d289
Variable types: 92 continuous, 6434 integer (4318 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+06]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+00, 1e+06]
Presolve removed 4710 rows and 3140 columns
Presolve time: 0.01s

Explored 0 nodes (0 simplex iterations) in 0.02 seconds
Thread count was 1 (of 4 available processors)

Solution count 0

Model is infeasible
Best objective -, best bound -, gap -

Computing Irreducible Inconsistent Subsystem (IIS)...

      Constraints           Bounds       Runtime
     Min       Max       Min      Max
------------------------------------------------
        0    10379         0     6257         0s
        5        5        21       21         0s

IIS computed: 5 constraints, 21 bounds
IIS runtime: 0.41 seconds
Discarded solution information

Gurobi 9.0.2 (win64) logging started Wed Jan 12 18:47:16 2022

Changed value of parameter LogFile to logs\SDCRVRP_10-2-7-100_3_0.LOG
   Prev:   Default: 
Changed value of parameter Seed to 1510197398
   Prev: 0  Min: 0  Max: 2000000000  Default: 0
Changed value of parameter Threads to 2
   Prev: 0  Min: 0  Max: 1024  Default: 0
Changed value of parameter TimeLimit to 1200.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Changed value of parameter Symmetry to 2
   Prev: -1  Min: -1  Max: 2  Default: -1
Changed value of parameter Cuts to 2
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter PreDepRow to 1
   Prev: -1  Min: -1  Max: 1  Default: -1
Changed value of parameter ScaleFlag to 1
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter NormAdjust to 0
   Prev: -1  Min: -1  Max: 3  Default: -1
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (win64)
Optimize a model with 10453 rows, 6526 columns and 43065 nonzeros
Model fingerprint: 0x60110d1a
Variable types: 92 continuous, 6434 integer (4318 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+06]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+00, 1e+06]
Presolve removed 8696 rows and 5094 columns
Presolve time: 0.26s
Presolved: 1757 rows, 1432 columns, 12710 nonzeros
Variable types: 55 continuous, 1377 integer (1277 binary)

Root relaxation: objective 5.974842e+02, 781 iterations, 0.03 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  597.48420    0   47          -  597.48420      -     -    0s
     0     0  600.30927    0   73          -  600.30927      -     -    0s
     0     0  600.30927    0   72          -  600.30927      -     -    0s
     0     0  602.75241    0   84          -  602.75241      -     -    0s
     0     0  603.02332    0   86          -  603.02332      -     -    1s
     0     0  603.02332    0   86          -  603.02332      -     -    1s
     0     0  603.13434    0   72          -  603.13434      -     -    1s
     0     0  603.13434    0   72          -  603.13434      -     -    1s
     0     0  603.13487    0   84          -  603.13487      -     -    1s
     0     0  603.13487    0   65          -  603.13487      -     -    2s
     0     2  603.16466    0   65          -  603.16466      -     -    3s
   556   571  603.67164   11   74          -  603.16466      -   7.3    5s
   772   735  605.57410   54   55          -  603.22471      -   7.0   10s
   778   739  620.39013   64   75          -  603.22747      -   6.9   15s
   789   746  615.42579   87   76          -  603.63987      -   6.8   20s
   801   756  611.51685  248   56          -  603.63987      -  19.7   25s
   807   760  691.44323   98   65          -  603.63987      -  19.6   30s
   819   768  604.04691   53   80          -  603.64699      -  19.3   35s
   830   775  719.76153  193   71          -  604.88818      -  19.0   40s
   847   787  672.38471  255   35          -  604.88818      -  38.7   45s
   852   791  842.97406  287   61          -  604.88818      -  38.5   50s
   858   795  722.41012  238   96          -  604.88933      -  38.2   56s
   865   799  605.65745   99   78          -  605.16612      -  37.9   60s
   876   807  695.20576  129   85          -  605.18918      -  37.4   65s
   891   818  672.38471  255   86          -  605.18918      -  59.2   70s
   897   822  606.14794   12   47          -  606.14794      -  58.8   75s
